card_ids,cards,runs_with_package,pct_runs_with_package,avg_damage,damage_vs_all_wins,avg_final_hp_fraction,avg_turns
DOMINATE;POMMEL_STRIKE;THRASH,Dominate + Pommel Strike + Thrash,10,6.2,360.8,-20.4,0.492,111.4
BURNING_PACT;DOMINATE;SECOND_WIND,Burning Pact + Dominate + Second Wind,10,6.2,360.9,-20.3,0.52,119.2
DOMINATE;EVIL_EYE;TRUE_GRIT,Dominate + Evil Eye + True Grit,10,6.2,361.5,-19.7,0.635,115.3
BATTLE_TRANCE;DOMINATE;THUNDERCLAP,Battle Trance + Dominate + Thunderclap,10,6.2,362.4,-18.8,0.474,113.7
BLOOD_WALL;TAUNT;UPPERCUT,Blood Wall + Taunt + Uppercut,10,6.2,363.9,-17.3,0.375,118.1
BLOODLETTING;DOMINATE;THRASH,Bloodletting + Dominate + Thrash,10,6.2,364,-17.2,0.585,102.4
FEEL_NO_PAIN;SHRUG_IT_OFF;STONE_ARMOR,Feel No Pain + Shrug It Off + Stone Armor,10,6.2,364,-17.2,0.455,131
BLOODLETTING;BLUDGEON;POMMEL_STRIKE,Bloodletting + Bludgeon + Pommel Strike,10,6.2,364.2,-17.0,0.532,109.3
BLOODLETTING;BRAND;SHRUG_IT_OFF,Bloodletting + Brand + Shrug It Off,10,6.2,364.5,-16.7,0.529,107.7
CRIMSON_MANTLE;EXPECT_A_FIGHT;SHRUG_IT_OFF,Crimson Mantle + Expect A Fight + Shrug It Off,10,6.2,364.7,-16.5,0.489,121.7
FEEL_NO_PAIN;POMMEL_STRIKE;RAGE,Feel No Pain + Pommel Strike + Rage,10,6.2,364.9,-16.3,0.478,117.7
SHRUG_IT_OFF;STOMP;TREMBLE,Shrug It Off + Stomp + Tremble,10,6.2,365,-16.2,0.624,127
BATTLE_TRANCE;BURNING_PACT;FLAME_BARRIER,Battle Trance + Burning Pact + Flame Barrier,10,6.2,365.1,-16.1,0.43,115.5
BURNING_PACT;CRIMSON_MANTLE;POMMEL_STRIKE,Burning Pact + Crimson Mantle + Pommel Strike,10,6.2,365.2,-16.0,0.367,111.8
ARMAMENTS;BLOOD_WALL;EXPECT_A_FIGHT,Armaments + Blood Wall + Expect A Fight,10,6.2,365.5,-15.7,0.551,120.1
DRUM_OF_BATTLE;POMMEL_STRIKE;SHRUG_IT_OFF,Drum Of Battle + Pommel Strike + Shrug It Off,10,6.2,365.7,-15.5,0.655,115.3
BLOODLETTING;BREAK;DOMINATE,Bloodletting + Break + Dominate,10,6.2,365.7,-15.5,0.552,114.7
COLOSSUS;POMMEL_STRIKE;UNMOVABLE,Colossus + Pommel Strike + Unmovable,10,6.2,366.1,-15.1,0.704,118.1
COLOSSUS;SHRUG_IT_OFF;THUNDERCLAP,Colossus + Shrug It Off + Thunderclap,10,6.2,366.2,-15.0,0.551,110.1
BLOODLETTING;DOMINATE;STOKE,Bloodletting + Dominate + Stoke,10,6.2,366.3,-14.9,0.531,114.3
BURNING_PACT;SHRUG_IT_OFF;STONE_ARMOR,Burning Pact + Shrug It Off + Stone Armor,10,6.2,366.3,-14.9,0.512,139
BURNING_PACT;CASCADE;SHRUG_IT_OFF,Burning Pact + Cascade X + Shrug It Off,10,6.2,366.4,-14.8,0.544,115
EXPECT_A_FIGHT;PERFECTED_STRIKE;POMMEL_STRIKE,Expect A Fight + Perfected Strike + Pommel Strike,10,6.2,366.7,-14.5,0.527,118.8
DARK_EMBRACE;POMMEL_STRIKE;UPPERCUT,Dark Embrace + Pommel Strike + Uppercut,10,6.2,367.1,-14.1,0.588,122.8
BLOODLETTING;DOMINATE;STONE_ARMOR,Bloodletting + Dominate + Stone Armor,10,6.2,367.1,-14.1,0.646,119.6
ARMAMENTS;SHRUG_IT_OFF;UNMOVABLE,Armaments + Shrug It Off + Unmovable,10,6.2,367.3,-13.9,0.527,113.7
BLOODLETTING;POMMEL_STRIKE;STONE_ARMOR,Bloodletting + Pommel Strike + Stone Armor,10,6.2,367.5,-13.7,0.603,118.8
ARMAMENTS;FEEL_NO_PAIN;UPPERCUT,Armaments + Feel No Pain + Uppercut,10,6.2,368,-13.2,0.48,132.8
COLOSSUS;TRUE_GRIT;VICIOUS,Colossus + True Grit + Vicious,10,6.2,368.1,-13.1,0.691,123.4
BLOOD_WALL;BURNING_PACT;TRUE_GRIT,Blood Wall + Burning Pact + True Grit,10,6.2,368.8,-12.4,0.556,121.4
SHRUG_IT_OFF;STONE_ARMOR;TRUE_GRIT,Shrug It Off + Stone Armor + True Grit,10,6.2,368.8,-12.4,0.614,141.1
BLOOD_WALL;DRUM_OF_BATTLE;SHRUG_IT_OFF,Blood Wall + Drum Of Battle + Shrug It Off,10,6.2,369.4,-11.8,0.62,110.2
BLOODLETTING;HEADBUTT;UNMOVABLE,Bloodletting + Headbutt + Unmovable,10,6.2,369.4,-11.8,0.613,120.1
ARMAMENTS;DOMINATE;TREMBLE,Armaments + Dominate + Tremble,10,6.2,369.9,-11.3,0.597,117.5
BLOODLETTING;SHRUG_IT_OFF;UNRELENTING,Bloodletting + Shrug It Off + Unrelenting,10,6.2,370,-11.2,0.493,111.7
POMMEL_STRIKE;THUNDERCLAP;UNMOVABLE,Pommel Strike + Thunderclap + Unmovable,10,6.2,370.2,-11.0,0.617,119
BLOOD_WALL;RUPTURE;SHRUG_IT_OFF,Blood Wall + Rupture + Shrug It Off,10,6.2,370.3,-10.9,0.572,110.9
BATTLE_TRANCE;FEEL_NO_PAIN;FORGOTTEN_RITUAL,Battle Trance + Feel No Pain + Forgotten Ritual,10,6.2,370.3,-10.9,0.614,118.5
ARMAMENTS;COLOSSUS;TRUE_GRIT,Armaments + Colossus + True Grit,10,6.2,370.6,-10.6,0.532,124.2
ASHEN_STRIKE;DOMINATE;TRUE_GRIT,Ashen Strike + Dominate + True Grit,10,6.2,371.1,-10.1,0.63,117.4
BATTLE_TRANCE;BURNING_PACT;SECOND_WIND,Battle Trance + Burning Pact + Second Wind,10,6.2,371.3,-9.9,0.502,118.8
EVIL_EYE;SHRUG_IT_OFF;THUNDERCLAP,Evil Eye + Shrug It Off + Thunderclap,10,6.2,371.5,-9.7,0.542,108
DOMINATE;EVIL_EYE;UPPERCUT,Dominate + Evil Eye + Uppercut,10,6.2,371.7,-9.5,0.436,102
BLOODLETTING;BLUDGEON;SHRUG_IT_OFF,Bloodletting + Bludgeon + Shrug It Off,10,6.2,371.9,-9.3,0.523,109.1
FLAME_BARRIER;OFFERING;POMMEL_STRIKE,Flame Barrier + Offering + Pommel Strike,10,6.2,372,-9.2,0.482,121.3
DOMINATE;PERFECTED_STRIKE;SHRUG_IT_OFF,Dominate + Perfected Strike + Shrug It Off,10,6.2,372.5,-8.7,0.497,108.4
BLOOD_WALL;HEADBUTT;TRUE_GRIT,Blood Wall + Headbutt + True Grit,10,6.2,372.5,-8.7,0.524,114
ASHEN_STRIKE;DOMINATE;VICIOUS,Ashen Strike + Dominate + Vicious,10,6.2,372.9,-8.3,0.474,107.5
BLOODLETTING;EVIL_EYE;FEEL_NO_PAIN,Bloodletting + Evil Eye + Feel No Pain,10,6.2,373.2,-8.0,0.676,111.5
COLOSSUS;POMMEL_STRIKE;STOKE,Colossus + Pommel Strike + Stoke,10,6.2,373.2,-8.0,0.646,119.1
DOMINATE;FIEND_FIRE;HEADBUTT,Dominate + Fiend Fire + Headbutt,10,6.2,373.2,-8.0,0.51,125.8
DOMINATE;FEEL_NO_PAIN;MOLTEN_FIST,Dominate + Feel No Pain + Molten Fist,10,6.2,373.3,-7.9,0.493,116.7
DOMINATE;TAUNT;TREMBLE,Dominate + Taunt + Tremble,10,6.2,373.3,-7.9,0.581,108.6
EVIL_EYE;FORGOTTEN_RITUAL;SHRUG_IT_OFF,Evil Eye + Forgotten Ritual + Shrug It Off,10,6.2,373.5,-7.7,0.553,115.2
ASHEN_STRIKE;EVIL_EYE;SHRUG_IT_OFF,Ashen Strike + Evil Eye + Shrug It Off,10,6.2,373.8,-7.4,0.596,116.6
BREAK;POMMEL_STRIKE;SHRUG_IT_OFF,Break + Pommel Strike + Shrug It Off,10,6.2,374,-7.2,0.446,116.5
ARMAMENTS;BATTLE_TRANCE;BURNING_PACT,Armaments + Battle Trance + Burning Pact,10,6.2,374.2,-7.0,0.548,119.9
ASHEN_STRIKE;BATTLE_TRANCE;BLOOD_WALL,Ashen Strike + Battle Trance + Blood Wall,10,6.2,374.5,-6.7,0.478,104.6
BLOOD_WALL;HEADBUTT;RUPTURE,Blood Wall + Headbutt + Rupture,10,6.2,374.8,-6.4,0.554,115.6
BATTLE_TRANCE;BLOOD_WALL;TAUNT,Battle Trance + Blood Wall + Taunt,10,6.2,375.1,-6.1,0.417,110.2
BURNING_PACT;SECOND_WIND;SHRUG_IT_OFF,Burning Pact + Second Wind + Shrug It Off,10,6.2,375.3,-5.9,0.696,119.4
FEEL_NO_PAIN;FORGOTTEN_RITUAL;TRUE_GRIT,Feel No Pain + Forgotten Ritual + True Grit,10,6.2,375.3,-5.9,0.583,117.5
HEADBUTT;POMMEL_STRIKE;UNMOVABLE,Headbutt + Pommel Strike + Unmovable,10,6.2,375.3,-5.9,0.597,119.1
EXPECT_A_FIGHT;FORGOTTEN_RITUAL;SHRUG_IT_OFF,Expect A Fight + Forgotten Ritual + Shrug It Off,10,6.2,375.5,-5.7,0.526,129.3
BLOODLETTING;EXTERMINATE;POMMEL_STRIKE,Bloodletting + Exterminate + Pommel Strike,10,6.2,375.8,-5.4,0.515,100.9
BATTLE_TRANCE;BLOODLETTING;JUGGLING,Battle Trance + Bloodletting + Juggling,10,6.2,376.2,-5.0,0.471,105.8
EVIL_EYE;STAMPEDE;UPPERCUT,Evil Eye + Stampede + Uppercut,10,6.2,376.6,-4.6,0.558,109
MOLTEN_FIST;SHRUG_IT_OFF;TAUNT,Molten Fist + Shrug It Off + Taunt,10,6.2,376.7,-4.5,0.407,120.4
BATTLE_TRANCE;BLOOD_WALL;EVIL_EYE,Battle Trance + Blood Wall + Evil Eye,10,6.2,376.7,-4.5,0.426,107.1
IMPERVIOUS;SHRUG_IT_OFF;TREMBLE,Impervious + Shrug It Off + Tremble,10,6.2,376.9,-4.3,0.668,123.9
BURNING_PACT;POMMEL_STRIKE;STOMP,Burning Pact + Pommel Strike + Stomp,10,6.2,377.1,-4.1,0.447,127.3
BULLY;MOLTEN_FIST;SHRUG_IT_OFF,Bully + Molten Fist + Shrug It Off,10,6.2,377.6,-3.6,0.544,111.2
BURNING_PACT;STONE_ARMOR;TRUE_GRIT,Burning Pact + Stone Armor + True Grit,10,6.2,377.8,-3.4,0.562,141.9
BLOODLETTING;DRUM_OF_BATTLE;HEADBUTT,Bloodletting + Drum Of Battle + Headbutt,10,6.2,377.9,-3.3,0.561,115.3
BATTLE_TRANCE;POMMEL_STRIKE;STOKE,Battle Trance + Pommel Strike + Stoke,10,6.2,378.2,-3.0,0.543,114.9
DOMINATE;FEEL_NO_PAIN;HEADBUTT,Dominate + Feel No Pain + Headbutt,10,6.2,378.3,-2.9,0.521,114.6
DOMINATE;POMMEL_STRIKE;PYRE,Dominate + Pommel Strike + Pyre,10,6.2,378.3,-2.9,0.499,128.8
BATTLE_TRANCE;SHRUG_IT_OFF;TWIN_STRIKE,Battle Trance + Shrug It Off + Twin Strike,10,6.2,378.4,-2.8,0.385,112.3
COLOSSUS;DOMINATE;OFFERING,Colossus + Dominate + Offering,10,6.2,378.4,-2.8,0.534,113.1
ANGER;COLOSSUS;TREMBLE,Anger + Colossus + Tremble,10,6.2,378.5,-2.7,0.673,119.2
BLOOD_WALL;POMMEL_STRIKE;RAGE,Blood Wall + Pommel Strike + Rage,10,6.2,378.6,-2.6,0.352,112.8
BULLY;POMMEL_STRIKE;SHRUG_IT_OFF,Bully + Pommel Strike + Shrug It Off,10,6.2,378.9,-2.3,0.553,118.8
ANGER;BLOODLETTING;STOKE,Anger + Bloodletting + Stoke,10,6.2,379.3,-1.9,0.573,113.6
BLOODLETTING;COLOSSUS;EVIL_EYE,Bloodletting + Colossus + Evil Eye,10,6.2,379.8,-1.4,0.644,115.5
BLOODLETTING;BURNING_PACT;OFFERING,Bloodletting + Burning Pact + Offering,10,6.2,380.3,-0.9,0.475,117.8
ASHEN_STRIKE;BATTLE_TRANCE;HEADBUTT,Ashen Strike + Battle Trance + Headbutt,10,6.2,380.3,-0.9,0.511,111.1
POMMEL_STRIKE;STAMPEDE;TREMBLE,Pommel Strike + Stampede + Tremble,10,6.2,380.7,-0.5,0.538,111.7
SHRUG_IT_OFF;THRASH;TRUE_GRIT,Shrug It Off + Thrash + True Grit,10,6.2,380.7,-0.5,0.445,112.8
ARMAMENTS;POMMEL_STRIKE;UNMOVABLE,Armaments + Pommel Strike + Unmovable,10,6.2,381.5,0.3,0.549,112.7
BLOOD_WALL;RUPTURE;TAUNT,Blood Wall + Rupture + Taunt,10,6.2,381.7,0.5,0.423,113.5
BATTLE_TRANCE;DOMINATE;PYRE,Battle Trance + Dominate + Pyre,10,6.2,382.2,1.0,0.436,122.7
ARMAMENTS;BATTLE_TRANCE;DOMINATE,Armaments + Battle Trance + Dominate,10,6.2,382.6,1.4,0.472,110.5
BATTLE_TRANCE;BLOODLETTING;BREAKTHROUGH,Battle Trance + Bloodletting + Breakthrough,10,6.2,383,1.8,0.42,112
BLOODLETTING;DOMINATE;PERFECTED_STRIKE,Bloodletting + Dominate + Perfected Strike,10,6.2,383.8,2.6,0.477,110.4
FEEL_NO_PAIN;OFFERING;TREMBLE,Feel No Pain + Offering + Tremble,10,6.2,384.3,3.1,0.598,115.3
BLOODLETTING;INFERNO;TAUNT,Bloodletting + Inferno + Taunt,10,6.2,384.4,3.2,0.461,109.7
DOMINATE;THUNDERCLAP;TRUE_GRIT,Dominate + Thunderclap + True Grit,10,6.2,384.6,3.4,0.57,127.5
BATTLE_TRANCE;DOMINATE;FORGOTTEN_RITUAL,Battle Trance + Dominate + Forgotten Ritual,10,6.2,384.8,3.6,0.646,116.7
BATTLE_TRANCE;DOMINATE;FLAME_BARRIER,Battle Trance + Dominate + Flame Barrier,10,6.2,385.1,3.9,0.337,116.9
FORGOTTEN_RITUAL;SHRUG_IT_OFF;THUNDERCLAP,Forgotten Ritual + Shrug It Off + Thunderclap,10,6.2,385.2,4.0,0.561,119.8
BLOODLETTING;THRASH;TRUE_GRIT,Bloodletting + Thrash + True Grit,10,6.2,385.9,4.7,0.43,114.8
BATTLE_TRANCE;THUNDERCLAP;VICIOUS,Battle Trance + Thunderclap + Vicious,10,6.2,386.5,5.3,0.478,114.4
DOMINATE;SECOND_WIND;TREMBLE,Dominate + Second Wind + Tremble,10,6.2,387.2,6.0,0.606,122.8
TAUNT;TREMBLE;VICIOUS,Taunt + Tremble + Vicious,10,6.2,387.6,6.4,0.607,111.2
ANGER;BATTLE_TRANCE;FORGOTTEN_RITUAL,Anger + Battle Trance + Forgotten Ritual,10,6.2,387.6,6.4,0.561,120.5
FEEL_NO_PAIN;TAUNT;TRUE_GRIT,Feel No Pain + Taunt + True Grit,10,6.2,387.6,6.4,0.498,125.9
BATTLE_TRANCE;MOLTEN_FIST;TRUE_GRIT,Battle Trance + Molten Fist + True Grit,10,6.2,388,6.8,0.499,121.1
ARMAMENTS;MOLTEN_FIST;SHRUG_IT_OFF,Armaments + Molten Fist + Shrug It Off,10,6.2,388.2,7.0,0.519,111.7
CRUELTY;HEADBUTT;POMMEL_STRIKE,Cruelty + Headbutt + Pommel Strike,10,6.2,388.8,7.6,0.371,117.5
COLOSSUS;FIEND_FIRE;POMMEL_STRIKE,Colossus + Fiend Fire + Pommel Strike,10,6.2,388.8,7.6,0.557,125.4
EXPECT_A_FIGHT;HEADBUTT;UPPERCUT,Expect A Fight + Headbutt + Uppercut,10,6.2,388.9,7.7,0.466,117
ARMAMENTS;BURNING_PACT;TAUNT,Armaments + Burning Pact + Taunt,10,6.2,389,7.8,0.52,122.2
BLOODLETTING;FIEND_FIRE;VICIOUS,Bloodletting + Fiend Fire + Vicious,10,6.2,390.1,8.9,0.587,120.8
COLOSSUS;HEADBUTT;TAUNT,Colossus + Headbutt + Taunt,10,6.2,390.2,9.0,0.554,113.7
BATTLE_TRANCE;DOMINATE;SECOND_WIND,Battle Trance + Dominate + Second Wind,10,6.2,390.4,9.2,0.566,121.4
BATTLE_TRANCE;SHRUG_IT_OFF;STAMPEDE,Battle Trance + Shrug It Off + Stampede,10,6.2,390.5,9.3,0.485,120
DOMINATE;INFERNO;POMMEL_STRIKE,Dominate + Inferno + Pommel Strike,10,6.2,391,9.8,0.481,106.7
ASHEN_STRIKE;BLOODLETTING;STOKE,Ashen Strike + Bloodletting + Stoke,10,6.2,391.4,10.2,0.488,118.2
EVIL_EYE;TAUNT;UPPERCUT,Evil Eye + Taunt + Uppercut,10,6.2,391.5,10.3,0.407,110.1
BLOODLETTING;UNMOVABLE;VICIOUS,Bloodletting + Unmovable + Vicious,10,6.2,391.5,10.3,0.607,121.1
POMMEL_STRIKE;UNMOVABLE;VICIOUS,Pommel Strike + Unmovable + Vicious,10,6.2,391.5,10.3,0.607,121.1
BLOODLETTING;CRUELTY;SHRUG_IT_OFF,Bloodletting + Cruelty + Shrug It Off,10,6.2,391.7,10.5,0.409,116.9
OFFERING;POMMEL_STRIKE;STAMPEDE,Offering + Pommel Strike + Stampede,10,6.2,391.8,10.6,0.444,110.4
EVIL_EYE;SHRUG_IT_OFF;TAUNT,Evil Eye + Shrug It Off + Taunt,10,6.2,392.5,11.3,0.492,112.1
BLOODLETTING;COLOSSUS;JUGGLING,Bloodletting + Colossus + Juggling,10,6.2,392.7,11.5,0.464,106.2
BURNING_PACT;RAGE;UPPERCUT,Burning Pact + Rage + Uppercut,10,6.2,392.8,11.6,0.472,134.6
COLOSSUS;INFERNO;UPPERCUT,Colossus + Inferno + Uppercut,10,6.2,393,11.8,0.638,112.3
ARMAMENTS;SHRUG_IT_OFF;STAMPEDE,Armaments + Shrug It Off + Stampede,10,6.2,393.1,11.9,0.571,122.7
HEADBUTT;THUNDERCLAP;VICIOUS,Headbutt + Thunderclap + Vicious,10,6.2,393.3,12.1,0.674,120.3
ANGER;ARMAMENTS;BLOODLETTING,Anger + Armaments + Bloodletting,10,6.2,393.4,12.2,0.625,119
DRUM_OF_BATTLE;HEADBUTT;SHRUG_IT_OFF,Drum Of Battle + Headbutt + Shrug It Off,10,6.2,393.5,12.3,0.547,111.8
BATTLE_TRANCE;HEADBUTT;MOLTEN_FIST,Battle Trance + Headbutt + Molten Fist,10,6.2,393.8,12.6,0.447,121.8
ASHEN_STRIKE;BLOODLETTING;UPPERCUT,Ashen Strike + Bloodletting + Uppercut,10,6.2,394.2,13.0,0.58,120.7
POMMEL_STRIKE;STONE_ARMOR;UPPERCUT,Pommel Strike + Stone Armor + Uppercut,10,6.2,394.2,13.0,0.593,139.7
POMMEL_STRIKE;RAGE;TRUE_GRIT,Pommel Strike + Rage + True Grit,10,6.2,394.6,13.4,0.548,133
POMMEL_STRIKE;TREMBLE;UNRELENTING,Pommel Strike + Tremble + Unrelenting,10,6.2,394.7,13.5,0.525,129.2
DOMINATE;OFFERING;UPPERCUT,Dominate + Offering + Uppercut,10,6.2,394.7,13.5,0.417,120.2
STAMPEDE;TAUNT;UPPERCUT,Stampede + Taunt + Uppercut,10,6.2,395.6,14.4,0.426,111.4
BLOOD_WALL;BURNING_PACT;FORGOTTEN_RITUAL,Blood Wall + Burning Pact + Forgotten Ritual,10,6.2,395.7,14.5,0.521,117.9
ARMAMENTS;HEADBUTT;UPPERCUT,Armaments + Headbutt + Uppercut,10,6.2,395.7,14.5,0.589,117.5
HELLRAISER;POMMEL_STRIKE;SHRUG_IT_OFF,Hellraiser + Pommel Strike + Shrug It Off,10,6.2,395.8,14.6,0.559,119.8
POMMEL_STRIKE;SHRUG_IT_OFF;SPITE,Pommel Strike + Shrug It Off + Spite,10,6.2,395.9,14.7,0.438,116.9
BLOODLETTING;FORGOTTEN_RITUAL;VICIOUS,Bloodletting + Forgotten Ritual + Vicious,10,6.2,396.2,15.0,0.754,117.7
ASHEN_STRIKE;POMMEL_STRIKE;STOKE,Ashen Strike + Pommel Strike + Stoke,10,6.2,396.2,15.0,0.502,114.4
BLOOD_WALL;INFERNO;TRUE_GRIT,Blood Wall + Inferno + True Grit,10,6.2,396.4,15.2,0.493,112.4
HEADBUTT;HOWL_FROM_BEYOND;SHRUG_IT_OFF,Headbutt + Howl From Beyond + Shrug It Off,10,6.2,396.5,15.3,0.564,119.7
PERFECTED_STRIKE;POMMEL_STRIKE;TRUE_GRIT,Perfected Strike + Pommel Strike + True Grit,10,6.2,396.8,15.6,0.495,124.8
BLOODLETTING;MANGLE;POMMEL_STRIKE,Bloodletting + Mangle + Pommel Strike,10,6.2,396.9,15.7,0.451,120.2
BATTLE_TRANCE;UPPERCUT;VICIOUS,Battle Trance + Uppercut + Vicious,10,6.2,397.7,16.5,0.495,111
ARMAMENTS;BATTLE_TRANCE;EXPECT_A_FIGHT,Armaments + Battle Trance + Expect A Fight,10,6.2,397.9,16.7,0.5,118.1
SECOND_WIND;SHRUG_IT_OFF;TREMBLE,Second Wind + Shrug It Off + Tremble,10,6.2,398.3,17.1,0.741,122.1
BATTLE_TRANCE;FORGOTTEN_RITUAL;HEADBUTT,Battle Trance + Forgotten Ritual + Headbutt,10,6.2,398.3,17.1,0.466,117.8
ANGER;HEADBUTT;VICIOUS,Anger + Headbutt + Vicious,10,6.2,398.5,17.3,0.699,118.6
BATTLE_TRANCE;COLOSSUS;OFFERING,Battle Trance + Colossus + Offering,10,6.2,398.6,17.4,0.558,111.9
BLOOD_WALL;SHRUG_IT_OFF;SPITE,Blood Wall + Shrug It Off + Spite,10,6.2,399.1,17.9,0.404,119
BULLY;SHRUG_IT_OFF;TREMBLE,Bully + Shrug It Off + Tremble,10,6.2,399.3,18.1,0.506,130.4
FLAME_BARRIER;TRUE_GRIT;UPPERCUT,Flame Barrier + True Grit + Uppercut,10,6.2,399.4,18.2,0.58,137.1
BLOOD_WALL;DOMINATE;HEADBUTT,Blood Wall + Dominate + Headbutt,10,6.2,399.6,18.4,0.568,107.6
BLOOD_WALL;EVIL_EYE;VICIOUS,Blood Wall + Evil Eye + Vicious,10,6.2,399.7,18.5,0.53,115
BLOOD_WALL;BULLY;SHRUG_IT_OFF,Blood Wall + Bully + Shrug It Off,10,6.2,400,18.8,0.497,122.7
SHRUG_IT_OFF;STAMPEDE;TRUE_GRIT,Shrug It Off + Stampede + True Grit,10,6.2,400.1,18.9,0.48,128.5
ASHEN_STRIKE;BLOOD_WALL;DOMINATE,Ashen Strike + Blood Wall + Dominate,10,6.2,400.2,19.0,0.459,113.3
ASHEN_STRIKE;INFERNO;POMMEL_STRIKE,Ashen Strike + Inferno + Pommel Strike,10,6.2,400.6,19.4,0.543,118.1
BLOODLETTING;COLOSSUS;PERFECTED_STRIKE,Bloodletting + Colossus + Perfected Strike,10,6.2,400.6,19.4,0.553,123.9
COLOSSUS;PERFECTED_STRIKE;POMMEL_STRIKE,Colossus + Perfected Strike + Pommel Strike,10,6.2,400.6,19.4,0.553,123.9
COLOSSUS;PERFECTED_STRIKE;SHRUG_IT_OFF,Colossus + Perfected Strike + Shrug It Off,10,6.2,400.6,19.4,0.553,123.9
INFLAME;SHRUG_IT_OFF;TREMBLE,Inflame + Shrug It Off + Tremble,10,6.2,401,19.8,0.618,125
BLOODLETTING;INFLAME;SHRUG_IT_OFF,Bloodletting + Inflame + Shrug It Off,10,6.2,401.3,20.1,0.585,118.1
THUNDERCLAP;TREMBLE;TRUE_GRIT,Thunderclap + Tremble + True Grit,10,6.2,401.5,20.3,0.476,120.7
PERFECTED_STRIKE;POMMEL_STRIKE;VICIOUS,Perfected Strike + Pommel Strike + Vicious,10,6.2,401.6,20.4,0.572,122.3
ARMAMENTS;BATTLE_TRANCE;FLAME_BARRIER,Armaments + Battle Trance + Flame Barrier,10,6.2,401.8,20.6,0.463,112.5
EVIL_EYE;POMMEL_STRIKE;STAMPEDE,Evil Eye + Pommel Strike + Stampede,10,6.2,402,20.8,0.523,109.2
HEADBUTT;POMMEL_STRIKE;RAGE,Headbutt + Pommel Strike + Rage,10,6.2,402,20.8,0.488,124.8
ARMAMENTS;FEEL_NO_PAIN;HEADBUTT,Armaments + Feel No Pain + Headbutt,10,6.2,402.2,21.0,0.5,123.5
POMMEL_STRIKE;STOKE;TREMBLE,Pommel Strike + Stoke + Tremble,10,6.2,402.6,21.4,0.648,121.9
EVIL_EYE;OFFERING;TRUE_GRIT,Evil Eye + Offering + True Grit,10,6.2,403,21.8,0.57,115.5
EVIL_EYE;OFFERING;UPPERCUT,Evil Eye + Offering + Uppercut,10,6.2,403.2,22.0,0.508,115.2
DOMINATE;RAGE;SHRUG_IT_OFF,Dominate + Rage + Shrug It Off,10,6.2,404.3,23.1,0.466,120.5
FEEL_NO_PAIN;MOLTEN_FIST;SHRUG_IT_OFF,Feel No Pain + Molten Fist + Shrug It Off,10,6.2,404.5,23.3,0.487,122.9
BLOOD_WALL;DOMINATE;INFERNO,Blood Wall + Dominate + Inferno,10,6.2,404.7,23.5,0.475,109.6
DOMINATE;FLAME_BARRIER;TREMBLE,Dominate + Flame Barrier + Tremble,10,6.2,405.5,24.3,0.491,125.5
BATTLE_TRANCE;EVIL_EYE;UPPERCUT,Battle Trance + Evil Eye + Uppercut,10,6.2,405.6,24.4,0.472,119.9
MOLTEN_FIST;OFFERING;TRUE_GRIT,Molten Fist + Offering + True Grit,10,6.2,405.7,24.5,0.476,117.6
MOLTEN_FIST;SHRUG_IT_OFF;VICIOUS,Molten Fist + Shrug It Off + Vicious,10,6.2,405.8,24.6,0.527,115.6
COLOSSUS;FLAME_BARRIER;UPPERCUT,Colossus + Flame Barrier + Uppercut,10,6.2,406,24.8,0.497,128.3
ASHEN_STRIKE;BLOODLETTING;INFERNO,Ashen Strike + Bloodletting + Inferno,10,6.2,406.4,25.2,0.47,122.6
SHRUG_IT_OFF;STOKE;TREMBLE,Shrug It Off + Stoke + Tremble,10,6.2,406.6,25.4,0.626,122.1
TREMBLE;TRUE_GRIT;VICIOUS,Tremble + True Grit + Vicious,10,6.2,407.1,25.9,0.586,120.5
ARMAMENTS;FLAME_BARRIER;TREMBLE,Armaments + Flame Barrier + Tremble,10,6.2,408.1,26.9,0.549,136.1
COLOSSUS;FLAME_BARRIER;SHRUG_IT_OFF,Colossus + Flame Barrier + Shrug It Off,10,6.2,408.6,27.4,0.517,125.7
MOLTEN_FIST;POMMEL_STRIKE;VICIOUS,Molten Fist + Pommel Strike + Vicious,10,6.2,409.4,28.2,0.516,118.9
BLOODLETTING;OFFERING;STOKE,Bloodletting + Offering + Stoke,10,6.2,410,28.8,0.415,122.5
DOMINATE;FLAME_BARRIER;UPPERCUT,Dominate + Flame Barrier + Uppercut,10,6.2,411.1,29.9,0.457,130.7
BLOODLETTING;NOT_YET;TREMBLE,Bloodletting + Not Yet + Tremble,10,6.2,412.9,31.7,0.7,125.5
BLOOD_WALL;FORGOTTEN_RITUAL;UPPERCUT,Blood Wall + Forgotten Ritual + Uppercut,10,6.2,413.7,32.5,0.507,118.6
BLOODLETTING;SECOND_WIND;UPPERCUT,Bloodletting + Second Wind + Uppercut,10,6.2,414.4,33.2,0.595,129.4
BLOODLETTING;STOKE;TRUE_GRIT,Bloodletting + Stoke + True Grit,10,6.2,414.6,33.4,0.564,123.7
ARMAMENTS;BLOODLETTING;STAMPEDE,Armaments + Bloodletting + Stampede,10,6.2,414.9,33.7,0.55,116.9
BURNING_PACT;FLAME_BARRIER;UPPERCUT,Burning Pact + Flame Barrier + Uppercut,10,6.2,415.3,34.1,0.393,137.8
