card_ids,cards,runs_with_package,pct_runs_with_package,avg_damage,damage_vs_all_wins,avg_final_hp_fraction,avg_turns
BURNING_PACT;SHRUG_IT_OFF;TREMBLE,Burning Pact + Shrug It Off + Tremble,26,16.1,386.9,5.7,0.528,123.4
SHRUG_IT_OFF;TRUE_GRIT;UPPERCUT,Shrug It Off + True Grit + Uppercut,26,16.1,392.4,11.2,0.567,125.5
POMMEL_STRIKE;TRUE_GRIT;UPPERCUT,Pommel Strike + True Grit + Uppercut,26,16.1,393.4,12.2,0.556,126.6
BLOODLETTING;OFFERING;POMMEL_STRIKE,Bloodletting + Offering + Pommel Strike,26,16.1,397.2,16.0,0.489,113.9
BLOODLETTING;COLOSSUS;TREMBLE,Bloodletting + Colossus + Tremble,26,16.1,398.6,17.4,0.573,118.8
BLOODLETTING;OFFERING;SHRUG_IT_OFF,Bloodletting + Offering + Shrug It Off,26,16.1,408,26.8,0.476,117.4
BLOOD_WALL;SHRUG_IT_OFF;TREMBLE,Blood Wall + Shrug It Off + Tremble,26,16.1,410.6,29.4,0.545,124.2
BATTLE_TRANCE;SHRUG_IT_OFF;TRUE_GRIT,Battle Trance + Shrug It Off + True Grit,26,16.1,411.2,30.0,0.473,116.5
BLOODLETTING;BLOOD_WALL;COLOSSUS,Bloodletting + Blood Wall + Colossus,25,15.5,350.4,-30.8,0.588,112.3
BURNING_PACT;POMMEL_STRIKE;TAUNT,Burning Pact + Pommel Strike + Taunt,25,15.5,362.9,-18.3,0.536,121.6
COLOSSUS;SHRUG_IT_OFF;TRUE_GRIT,Colossus + Shrug It Off + True Grit,25,15.5,366.8,-14.3,0.597,115.7
BATTLE_TRANCE;HEADBUTT;SHRUG_IT_OFF,Battle Trance + Headbutt + Shrug It Off,25,15.5,379.0,-2.1,0.475,113.2
BLOODLETTING;BURNING_PACT;TREMBLE,Bloodletting + Burning Pact + Tremble,25,15.5,380.4,-0.8,0.517,116.2
DOMINATE;HEADBUTT;POMMEL_STRIKE,Dominate + Headbutt + Pommel Strike,25,15.5,389,7.8,0.516,116.9
BATTLE_TRANCE;BLOODLETTING;BURNING_PACT,Battle Trance + Bloodletting + Burning Pact,25,15.5,389.3,8.1,0.451,115.5
HEADBUTT;POMMEL_STRIKE;UPPERCUT,Headbutt + Pommel Strike + Uppercut,25,15.5,391.8,10.6,0.517,116.8
COLOSSUS;SHRUG_IT_OFF;TREMBLE,Colossus + Shrug It Off + Tremble,25,15.5,392.8,11.7,0.605,117.6
BATTLE_TRANCE;BLOODLETTING;HEADBUTT,Battle Trance + Bloodletting + Headbutt,25,15.5,396.3,15.1,0.429,115.6
BLOODLETTING;COLOSSUS;HEADBUTT,Bloodletting + Colossus + Headbutt,25,15.5,397,15.8,0.544,118.5
BLOODLETTING;POMMEL_STRIKE;SECOND_WIND,Bloodletting + Pommel Strike + Second Wind,25,15.5,411.8,30.6,0.522,122.2
BATTLE_TRANCE;BLOODLETTING;TREMBLE,Battle Trance + Bloodletting + Tremble,25,15.5,413.0,31.9,0.5,119.0
BURNING_PACT;POMMEL_STRIKE;TRUE_GRIT,Burning Pact + Pommel Strike + True Grit,24,14.9,343.9,-37.3,0.531,125.7
BURNING_PACT;SHRUG_IT_OFF;TRUE_GRIT,Burning Pact + Shrug It Off + True Grit,24,14.9,356.3,-24.9,0.553,128.2
BLOODLETTING;BURNING_PACT;TRUE_GRIT,Bloodletting + Burning Pact + True Grit,24,14.9,358.0,-23.1,0.545,117.5
BLOOD_WALL;HEADBUTT;SHRUG_IT_OFF,Blood Wall + Headbutt + Shrug It Off,24,14.9,370.8,-10.4,0.474,114.0
COLOSSUS;DOMINATE;POMMEL_STRIKE,Colossus + Dominate + Pommel Strike,24,14.9,375.2,-6.0,0.565,115
DOMINATE;POMMEL_STRIKE;UPPERCUT,Dominate + Pommel Strike + Uppercut,24,14.9,378.6,-2.6,0.532,114.2
BLOOD_WALL;COLOSSUS;POMMEL_STRIKE,Blood Wall + Colossus + Pommel Strike,24,14.9,378.6,-2.6,0.555,113.9
BLOODLETTING;DOMINATE;VICIOUS,Bloodletting + Dominate + Vicious,24,14.9,380.7,-0.5,0.584,113.2
HEADBUTT;SHRUG_IT_OFF;UPPERCUT,Headbutt + Shrug It Off + Uppercut,24,14.9,382.6,1.4,0.521,110.6
COLOSSUS;SHRUG_IT_OFF;UPPERCUT,Colossus + Shrug It Off + Uppercut,24,14.9,384.2,3.1,0.565,116.3
BATTLE_TRANCE;POMMEL_STRIKE;TAUNT,Battle Trance + Pommel Strike + Taunt,24,14.9,384.4,3.2,0.496,114.8
BATTLE_TRANCE;BLOODLETTING;COLOSSUS,Battle Trance + Bloodletting + Colossus,24,14.9,386.8,5.6,0.523,113.1
BLOOD_WALL;HEADBUTT;POMMEL_STRIKE,Blood Wall + Headbutt + Pommel Strike,24,14.9,388.6,7.4,0.465,112.8
BLOOD_WALL;POMMEL_STRIKE;TREMBLE,Blood Wall + Pommel Strike + Tremble,24,14.9,392.7,11.5,0.532,117.5
BLOODLETTING;INFERNO;POMMEL_STRIKE,Bloodletting + Inferno + Pommel Strike,24,14.9,393.2,12.0,0.527,112.6
BATTLE_TRANCE;SHRUG_IT_OFF;UPPERCUT,Battle Trance + Shrug It Off + Uppercut,24,14.9,405.5,24.3,0.451,118.5
COLOSSUS;POMMEL_STRIKE;TRUE_GRIT,Colossus + Pommel Strike + True Grit,23,14.3,369,-12.2,0.603,118.7
BLOODLETTING;DOMINATE;TRUE_GRIT,Bloodletting + Dominate + True Grit,23,14.3,370.9,-10.3,0.607,116.2
POMMEL_STRIKE;TAUNT;TRUE_GRIT,Pommel Strike + Taunt + True Grit,23,14.3,374.6,-6.6,0.537,125.3
BATTLE_TRANCE;BURNING_PACT;SHRUG_IT_OFF,Battle Trance + Burning Pact + Shrug It Off,23,14.3,377,-4.2,0.456,117.6
BLOODLETTING;FORGOTTEN_RITUAL;SHRUG_IT_OFF,Bloodletting + Forgotten Ritual + Shrug It Off,23,14.3,378.3,-2.8,0.606,116.4
BLOODLETTING;BLOOD_WALL;TRUE_GRIT,Bloodletting + Blood Wall + True Grit,23,14.3,378.7,-2.5,0.511,115.0
SHRUG_IT_OFF;TAUNT;TRUE_GRIT,Shrug It Off + Taunt + True Grit,23,14.3,379.8,-1.4,0.531,125.2
PERFECTED_STRIKE;POMMEL_STRIKE;SHRUG_IT_OFF,Perfected Strike + Pommel Strike + Shrug It Off,23,14.3,381.9,0.7,0.482,117.0
DOMINATE;POMMEL_STRIKE;VICIOUS,Dominate + Pommel Strike + Vicious,23,14.3,384.6,3.4,0.539,115.7
POMMEL_STRIKE;TAUNT;UPPERCUT,Pommel Strike + Taunt + Uppercut,23,14.3,385.3,4.1,0.484,121.6
BATTLE_TRANCE;POMMEL_STRIKE;UPPERCUT,Battle Trance + Pommel Strike + Uppercut,23,14.3,390.5,9.3,0.473,116.3
BLOODLETTING;DOMINATE;UPPERCUT,Bloodletting + Dominate + Uppercut,23,14.3,391.3,10.1,0.534,115.2
POMMEL_STRIKE;TREMBLE;TRUE_GRIT,Pommel Strike + Tremble + True Grit,23,14.3,396.9,15.7,0.519,129.7
BLOODLETTING;POMMEL_STRIKE;PYRE,Bloodletting + Pommel Strike + Pyre,23,14.3,402.0,20.9,0.471,117.6
COLOSSUS;HEADBUTT;POMMEL_STRIKE,Colossus + Headbutt + Pommel Strike,23,14.3,403.4,22.2,0.536,116.7
BURNING_PACT;SHRUG_IT_OFF;UPPERCUT,Burning Pact + Shrug It Off + Uppercut,23,14.3,404.5,23.3,0.469,128.1
BLOODLETTING;BLOOD_WALL;TREMBLE,Bloodletting + Blood Wall + Tremble,23,14.3,405.0,23.8,0.557,117.7
BLOODLETTING;TREMBLE;TRUE_GRIT,Bloodletting + Tremble + True Grit,23,14.3,405.3,24.1,0.53,120.5
EVIL_EYE;POMMEL_STRIKE;SHRUG_IT_OFF,Evil Eye + Pommel Strike + Shrug It Off,23,14.3,406,24.8,0.516,116.1
BATTLE_TRANCE;BLOODLETTING;TAUNT,Battle Trance + Bloodletting + Taunt,23,14.3,406.8,25.6,0.493,117.5
BATTLE_TRANCE;BLOODLETTING;UPPERCUT,Battle Trance + Bloodletting + Uppercut,23,14.3,407.3,26.1,0.488,118.4
HEADBUTT;POMMEL_STRIKE;TREMBLE,Headbutt + Pommel Strike + Tremble,23,14.3,414.7,33.5,0.454,124.0
BURNING_PACT;SHRUG_IT_OFF;TAUNT,Burning Pact + Shrug It Off + Taunt,22,13.7,354.9,-26.3,0.588,123.2
DOMINATE;POMMEL_STRIKE;TRUE_GRIT,Dominate + Pommel Strike + True Grit,22,13.7,360.8,-20.4,0.581,119.4
BLOODLETTING;FEEL_NO_PAIN;SHRUG_IT_OFF,Bloodletting + Feel No Pain + Shrug It Off,22,13.7,361.6,-19.5,0.62,117.6
BLOOD_WALL;COLOSSUS;SHRUG_IT_OFF,Blood Wall + Colossus + Shrug It Off,22,13.7,365.9,-15.3,0.599,116.2
ARMAMENTS;EXPECT_A_FIGHT;SHRUG_IT_OFF,Armaments + Expect A Fight + Shrug It Off,22,13.7,366.3,-14.9,0.565,122.7
ANGER;POMMEL_STRIKE;SHRUG_IT_OFF,Anger + Pommel Strike + Shrug It Off,22,13.7,368.1,-13.1,0.584,115.5
ARMAMENTS;BLOODLETTING;TRUE_GRIT,Armaments + Bloodletting + True Grit,22,13.7,371.3,-9.9,0.549,119.2
BLOOD_WALL;POMMEL_STRIKE;TAUNT,Blood Wall + Pommel Strike + Taunt,22,13.7,371.7,-9.5,0.417,116.2
